Name*Surnames*FirstName*LastName*Account*Path*Group*dni*Delegation*Departament*computer*Enabled*Password*ExpirationAccount*Change*NetTime*Email
ANTONIO*ALABAU VALENCIA*ALABAU*VALENCIA*aalabauv*OU=Usuarios-Direccion,OU=Direccion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepDireccion*12345707-D*Marenostrum*Consejo de Dirección*W10MN-1*S*wahwahwah_100*30*S*L-V,8:00-22:00*aalabauv@marenostrum.res-es.mylocal
CLAUDIO*GOMIS CAMPOS*GOMIS*CAMPOS*cgomisc*OU=Usuarios-Direccion,OU=Direccion,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepDireccion*12345708-E*Marenostrum*Consejo de Dirección*W10MN-2*S*wahwahwah_100*30*S*L-V,8:00-22:00*cgomisc@marenostrum.res-es.mylocal
SUSANA*VALENCIA MONCHO*VALENCIA*MONCHO*svalenciam*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345709-F*Marenostrum*Logística*W10MN-3*S*wahwahwah_100*30*S*L-V,8:00-15:00*svalenciam@marenostrum.res-es.mylocal
PEDRO*CHAVES ALABAU*CHAVES*ALABAU*pchavesa*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345710-G*Marenostrum*Logística*W10MN-4*S*wahwahwah_100*30*S*L-V,8:00-15:00*pchavesa@marenostrum.res-es.mylocal
PIEDAD*ALBA GOMIS*ALBA*GOMIS*palbag*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345711-H*Marenostrum*Logística*W10MN-5*S*wahwahwah_100*30*S*L-V,8:00-15:00*palbag@marenostrum.res-es.mylocal
MANUEL*CARVALHO VALENCIA*CARVALHO*VALENCIA*mcarvalhov*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345712-I*Marenostrum*Logística*W10MN-6*S*wahwahwah_100*30*S*L-V,8:00-15:00*mcarvalhov@marenostrum.res-es.mylocal
JAVIER*CAMPOS VARGAS*CAMPOS*VARGAS*jcamposv*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345713-J*Marenostrum*Logística*W10MN-7*S*wahwahwah_100*30*S*L-V,8:00-15:00*jcamposv@marenostrum.res-es.mylocal
EVA*MONCHO CARVALHO*MONCHO*CARVALHO*emonchoc*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345714-K*Marenostrum*Logística*W10MN-8*S*wahwahwah_100*30*S*L-V,8:00-15:00*emonchoc@marenostrum.res-es.mylocal
RODRIGO*CHAVES CAMPOS*CHAVES*CAMPOS*rchavesc*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345715-L*Marenostrum*Logística*W10MN-9*S*wahwahwah_100*30*S*L-V,8:00-15:00*rchavesc@marenostrum.res-es.mylocal
JOHANN*ALBA CHAVES*ALBA*CHAVES*jalbac*OU=Usuarios-Logistica,OU=Logistica,OU=Departamentos,DC=marenostrum,DC=mylocal*GGDepLogistica*12345716-M*Marenostrum*Logística*W10MN-10*S*wahwahwah_100*30*S*L-V,8:00-15:00*jalbac@marenostrum.res-es.mylocal
